event_time,product_id,category_id,user_id,rating
2019-10-31 23:53:18 UTC,1,1,1,3
2019-10-31 23:53:53 UTC,2,2,2,2
2019-10-31 23:54:33 UTC,3,3,3,1
2019-10-31 23:55:13 UTC,4,4,4,0
2019-10-31 23:55:21 UTC,5,5,5,2
2019-10-31 23:56:03 UTC,6,2,6,2
2019-10-31 23:56:53 UTC,7,2,7,2
2019-10-31 23:59:16 UTC,8,6,8,2
2019-10-01 00:02:14 UTC,1,1,1,3
2019-10-01 00:04:37 UTC,2,1,2,2
2019-10-01 00:06:02 UTC,3,2,3,1
2019-10-01 00:07:07 UTC,4,3,4,1
2019-10-01 00:09:26 UTC,5,4,5,2
2019-10-01 00:09:54 UTC,6,4,2,2
2019-10-01 00:10:08 UTC,7,1,6,2
2019-10-01 00:10:56 UTC,8,5,7,3
2019-10-01 00:12:14 UTC,9,4,8,1
2019-10-01 00:14:14 UTC,10,1,9,2
2019-10-01 00:02:14 UTC,1,1,1,3
2019-10-01 00:04:37 UTC,2,1,2,2
2019-10-01 00:06:02 UTC,3,2,3,1
2019-10-01 00:07:07 UTC,4,3,4,1
2019-10-01 00:09:26 UTC,5,4,5,2
2019-10-01 00:09:54 UTC,6,4,2,2
2019-10-01 00:10:08 UTC,7,1,6,2
2019-10-01 00:10:56 UTC,8,5,7,3
2019-10-01 00:12:14 UTC,9,4,8,1
2019-10-01 00:14:14 UTC,10,1,9,2
